errs,losses,valid_losses
"[0.663414   0.4973107  0.45817667 0.493421   0.43670598 0.4968476
 0.4389525  0.4682288  0.37774515 0.50046986 0.4467359  0.55182105
 0.4858484  0.34311426 0.5805313  0.52019405 0.5008773  0.53848517
 0.53472126 0.55320084 0.4400536  0.42777175 0.4507119  0.5307867
 0.5065789  0.42312187 0.47447765 0.5282802  0.50823253 0.5037007
 0.5307608  0.48771495 0.26498538 0.62286484 0.43856245 0.40060395
 0.4671627  0.5304431  0.5151914  0.58313394 0.4693701  0.5275776
 0.51342165 0.45836818 0.47436294 0.40850258 0.48813784 0.5028944
 0.46017066 0.46792763 0.4777359  0.6926872  0.5385145  0.45277852
 0.5000314  0.50745004 0.517529   0.43892533 0.485686   0.49936044
 0.44558454 0.35625917 0.50350374 0.38148087 0.45665637 0.41883826
 0.5246536  0.4729799  0.46450797 0.57903546 0.55633384 0.5118716
 0.5253591  0.3659715  0.5548246  0.47920793 0.46404347 0.4942118
 0.47112072 0.4252819  0.44473234 0.48569292 0.56613433 0.40887022
 0.60795724 0.5043581  0.6403401  0.48826623 0.5002678  0.41392547
 0.49242553 0.60796076 0.49300224 0.27136287 0.3046305  0.52064294
 0.4946208  0.55758387 0.5636865  0.4087171  0.50832635 0.38326803
 0.50414014 0.53474575 0.568348   0.43699783 0.39003962 0.5437857
 0.42090026 0.54108113 0.3541941  0.4839916  0.5080942  0.39699712
 0.55512434 0.48795807 0.50505054 0.5044412  0.2412266  0.5002742
 0.49262422 0.49746552 0.50597566 0.42546853 0.41118422 0.551509
 0.5169858  0.6207479  0.53112435 0.4801367  0.495073   0.5677664
 0.5101159  0.5306272  0.44834307 0.5246055  0.5367789  0.5545028
 0.53080153 0.47638625 0.6468132  0.5026877  0.42892957 0.44944727
 0.5490019  0.53059655 0.7350974  0.7762496  0.96255803]",losses,41.4118709564209
"[0.29196844 0.38395715 0.30712947 0.250935   0.23253174 0.26155886
 0.21992807 0.21152821 0.1881921  0.22203945 0.17238002 0.2145309
 0.22740954 0.14970216 0.22660819 0.16040789 0.18946117 0.15928197
 0.13146661 0.14201666 0.17093971 0.11827385 0.13561618 0.14032476
 0.13684209 0.14447564 0.132827   0.11820343 0.1375457  0.12815242
 0.09982558 0.11403392 0.08428159 0.10033562 0.095313   0.07742766
 0.08520689 0.09699928 0.09796613 0.09980562 0.1224812  0.09452884
 0.11605388 0.09468522 0.11852548 0.09093496 0.08838634 0.08929146
 0.11445693 0.13157895 0.11492638 0.11673889 0.1352165  0.10298641
 0.10576682 0.11273198 0.0857739  0.09000433 0.09724747 0.10736477
 0.09103766 0.09519939 0.1198668  0.12876402 0.11007085 0.13777341
 0.12464923 0.14476985 0.11777128 0.16285834 0.1262949  0.14215727
 0.16137208 0.10039797 0.14364035 0.11905623 0.12500118 0.12932973
 0.12346523 0.14626408 0.13556057 0.17913356 0.15067635 0.19170797
 0.1876935  0.17296031 0.1709104  0.19347364 0.12522602 0.14437133
 0.19616449 0.17741951 0.17168745 0.10160874 0.11489549 0.16352183
 0.16041064 0.17283295 0.17654291 0.13733552 0.17401175 0.1040054
 0.12130827 0.11183795 0.10547202 0.09976328 0.08173639 0.11541441
 0.09793341 0.11344948 0.09437576 0.0803046  0.14254254 0.1128953
 0.09950146 0.10571521 0.10709321 0.14556965 0.10829671 0.13157895
 0.15045899 0.12335525 0.12235239 0.13294616 0.10197369 0.12417109
 0.14814456 0.14029326 0.14252566 0.11639677 0.12452818 0.15035221
 0.13835868 0.16332299 0.14924462 0.13216634 0.1688141  0.19486555
 0.18856923 0.16623591 0.19285803 0.22658567 0.19914299 0.23643094
 0.21665151 0.33148217 0.38600966 0.46397135 0.4950769 ]",average_loss,31.6647390127182
"[0.27927408 0.27060366 0.20027749 0.18869416 0.17411523 0.16218933
 0.19330998 0.16403934 0.15222564 0.15213817 0.15237212 0.15225734
 0.14023204 0.12853827 0.11695908 0.12021003 0.10766079 0.11214115
 0.11504567 0.11355009 0.10646166 0.08071826 0.08879665 0.08109465
 0.07828948 0.09708233 0.07540235 0.06928502 0.08136971 0.06304824
 0.05956543 0.06886466 0.06805146 0.064847   0.07815054 0.06865093
 0.06718992 0.07323253 0.07807656 0.07064893 0.07691877 0.06689902
 0.085186   0.07578344 0.08458646 0.07161344 0.06236138 0.06732135
 0.07306433 0.08223684 0.07173125 0.07268342 0.07372682 0.07033915
 0.06091035 0.08033091 0.06659928 0.07064724 0.06593957 0.07447004
 0.06557439 0.0652348  0.07634027 0.08346204 0.07777151 0.09852401
 0.07748985 0.09309163 0.08206029 0.10837642 0.08295526 0.10367467
 0.09740844 0.071036   0.09868421 0.08606792 0.0781111  0.09840307
 0.09076989 0.10808272 0.09706861 0.11474223 0.10946181 0.1361714
 0.11937366 0.12703082 0.11261992 0.12338543 0.10768496 0.11970031
 0.12968883 0.11071765 0.1356652  0.10507695 0.10010074 0.11421784
 0.11075822 0.10169871 0.10349238 0.10444079 0.09780685 0.08304308
 0.08785973 0.07934892 0.07675438 0.08061469 0.06588243 0.09463762
 0.08354336 0.08092854 0.07346036 0.05731074 0.08536424 0.07646584
 0.07396207 0.07744109 0.07290772 0.08345645 0.0815012  0.08703399
 0.08511946 0.08652201 0.09182002 0.11131564 0.09210527 0.09202696
 0.11092542 0.10857833 0.09899385 0.0993168  0.11108085 0.12377059
 0.11351669 0.12235799 0.12244155 0.13026594 0.1337676  0.14331858
 0.16372071 0.1456767  0.14969827 0.16621113 0.1532185  0.1878884
 0.14972778 0.2061555  0.21090673 0.3145003  0.49507686]",losses,25.797685205936432
"[0.23401625 0.17336412 0.16671143 0.13800019 0.18999548 0.16161823
 0.17548238 0.15231189 0.14619884 0.14273965 0.13935623 0.15374714
 0.12734935 0.12007269 0.11269493 0.11407294 0.10035004 0.10736477
 0.10073932 0.09931679 0.10081527 0.08562444 0.08651619 0.07652594
 0.07302632 0.08346123 0.07139079 0.07039241 0.0770575  0.0589364
 0.05840622 0.06254879 0.06555944 0.06568106 0.07651602 0.06408221
 0.05757169 0.06662422 0.06548173 0.06261215 0.0613326  0.06004595
 0.07556996 0.06414615 0.07362155 0.06886303 0.0631598  0.06984086
 0.06075124 0.06907894 0.05428708 0.05925701 0.0673603  0.05901255
 0.05256863 0.05495995 0.05389376 0.06007481 0.06304467 0.05985015
 0.05348652 0.06026079 0.07237922 0.06278329 0.07538997 0.07912181
 0.07263934 0.08152892 0.07340841 0.08855146 0.07547785 0.07986462
 0.07496559 0.06814076 0.07785088 0.08115478 0.07189322 0.08004036
 0.08137181 0.08385222 0.0847971  0.09374058 0.09383075 0.11525618
 0.09749345 0.1131952  0.10523794 0.0972493  0.10136837 0.10964914
 0.10968486 0.10489205 0.12365776 0.10207744 0.08821771 0.09461044
 0.09693743 0.09398495 0.07529828 0.09046052 0.08509494 0.07619001
 0.07785404 0.07357309 0.06526734 0.064393   0.05633788 0.07288186
 0.05923482 0.06765851 0.06189135 0.05665376 0.06750461 0.06239901
 0.06701537 0.06347083 0.06754029 0.0757032  0.07260651 0.08018092
 0.08760369 0.08849608 0.09137429 0.09713334 0.08684212 0.09577981
 0.10926437 0.10624205 0.10127062 0.09647014 0.10688477 0.11733285
 0.12042735 0.12703751 0.10660334 0.11359396 0.10994154 0.12842059
 0.14780042 0.14332707 0.14678207 0.1501402  0.13596602 0.17532441
 0.14519057 0.18475132 0.17062746 0.25337836 0.46858454]",average_loss,22.520804464817047
"[0.25774908 0.3039429  0.16279538 0.14250633 0.16447367 0.19816794
 0.17079954 0.13204226 0.15728039 0.1362782  0.13833432 0.14540426
 0.13824655 0.11869057 0.11208577 0.12028673 0.10569671 0.098435
 0.09753441 0.09710272 0.09052428 0.07662979 0.07809824 0.07391525
 0.06973683 0.07866578 0.06671065 0.06321836 0.06754249 0.05688048
 0.0608361  0.05557957 0.06242843 0.05959252 0.06864988 0.05999442
 0.05627352 0.06148441 0.05436864 0.05569677 0.052279   0.06243907
 0.07135176 0.06104287 0.06474519 0.06590637 0.06236139 0.06329013
 0.06075125 0.06578948 0.05032915 0.06048346 0.06299333 0.05787037
 0.04965688 0.05961546 0.05277678 0.05649929 0.05385448 0.05985015
 0.05533453 0.06282315 0.06774298 0.06624967 0.07204097 0.08374986
 0.06801065 0.08049653 0.06947976 0.08429277 0.07304402 0.08065536
 0.07716013 0.06483608 0.07675438 0.07331713 0.07942783 0.08179754
 0.0785861  0.07856555 0.08047117 0.09028945 0.08551981 0.11401017
 0.09637711 0.1003158  0.09668567 0.09209442 0.1008685  0.10416666
 0.10614665 0.10026854 0.1144428  0.09564094 0.09136552 0.09594298
 0.09693741 0.08820772 0.07524941 0.08305921 0.08097397 0.07286426
 0.0735562  0.06882866 0.0621345  0.06206554 0.06282603 0.06711659
 0.06324638 0.0674716  0.06103649 0.05522389 0.06831106 0.05638753
 0.06343985 0.06134403 0.06862655 0.07757618 0.07445678 0.07538377
 0.08432265 0.09032571 0.0886999  0.09896991 0.08486842 0.09251644
 0.09887566 0.1049571  0.10145276 0.09710272 0.09816217 0.10840311
 0.1106433  0.11882918 0.10599415 0.10633776 0.10754047 0.12812261
 0.14758527 0.14215225 0.13686699 0.15680021 0.14451009 0.17075574
 0.13498186 0.1757391  0.15887932 0.18558854 0.34881666]",losses,20.095461428165436
"[0.18544686 0.13280137 0.1387397  0.1295512  0.15199637 0.14962535
 0.16743124 0.14825797 0.14542119 0.14097744 0.13048175 0.14093485
 0.1216699  0.11989994 0.1163499  0.11123455 0.11053417 0.10694942
 0.09935161 0.09647014 0.08797432 0.07341741 0.08460175 0.07538376
 0.07105263 0.07402337 0.06269909 0.05917392 0.06777684 0.05688048
 0.05381397 0.0534888  0.06134216 0.0591755  0.06650458 0.05614708
 0.05259539 0.06360989 0.05362776 0.05569677 0.05277585 0.05982839
 0.06979677 0.05561214 0.06317877 0.06415298 0.05962639 0.06540652
 0.06176488 0.06003289 0.05736546 0.05347977 0.05987405 0.05596675
 0.04698125 0.05233537 0.0497982  0.05471154 0.04974953 0.05482456
 0.0516385  0.05986891 0.06112623 0.06215575 0.07003156 0.07573977
 0.06990355 0.07627849 0.06268186 0.07739075 0.06829368 0.0751202
 0.07277105 0.06267195 0.07346492 0.0679068  0.06880623 0.07327514
 0.07522861 0.0721041  0.0745561  0.08323973 0.08551981 0.10457609
 0.08841392 0.10315465 0.08894362 0.08256844 0.08853828 0.09228802
 0.10083165 0.0939189  0.10443658 0.09001685 0.08884727 0.08699593
 0.09242649 0.08049399 0.07124262 0.07483552 0.07502513 0.06661588
 0.06640443 0.06404985 0.06317878 0.05645848 0.05211969 0.06320053
 0.05998929 0.06541567 0.05955475 0.05445099 0.06168254 0.05410317
 0.06343985 0.05821635 0.06006421 0.07500628 0.07053331 0.07606908
 0.08432264 0.08377758 0.08231115 0.0880016  0.0907895  0.08517387
 0.10278902 0.10110226 0.09434926 0.08951164 0.10242435 0.10944146
 0.10682426 0.11146469 0.11147663 0.11039779 0.11086505 0.12365323
 0.1418841  0.12981673 0.1456156  0.15347017 0.13908787 0.16047612
 0.13668332 0.165037   0.14433406 0.15836146 0.28313756]",average_loss,18.524209439754486
"[0.18213533 0.20503642 0.12866989 0.13659203 0.14859346 0.14791211
 0.1680063  0.14652057 0.1413385  0.137453   0.13833429 0.14242464
 0.1415711  0.12093653 0.11330409 0.11844561 0.09962259 0.1011347
 0.09502337 0.09583755 0.08469576 0.07405989 0.07973117 0.07538376
 0.07105263 0.07019722 0.06336769 0.06437391 0.0670972  0.05550987
 0.05185223 0.05536178 0.06000031 0.05037632 0.05884275 0.05638753
 0.05113987 0.05847009 0.05203204 0.05644437 0.05527847 0.05982839
 0.06289752 0.0540605  0.06187343 0.06298406 0.0604248  0.06369325
 0.05850796 0.05509868 0.04759281 0.05506124 0.05733064 0.05273057
 0.04312516 0.05321024 0.0497982  0.04740639 0.04703842 0.05208332
 0.05425905 0.05652275 0.05923572 0.0605421  0.06779888 0.07502776
 0.06891273 0.07589505 0.06201972 0.07739075 0.06841098 0.07520805
 0.07063502 0.06489455 0.07127193 0.071036   0.07064965 0.0781953
 0.07511131 0.0738663  0.07362912 0.08922756 0.08560853 0.09425197
 0.09347462 0.10049511 0.08642295 0.0855227  0.08491798 0.08589181
 0.09894766 0.09092905 0.09922406 0.09089171 0.0792464  0.08261757
 0.08382048 0.07975168 0.06801765 0.07319079 0.06917599 0.06167763
 0.06560601 0.0583084  0.0553467  0.05645848 0.05135112 0.06004595
 0.05949244 0.06560257 0.05818698 0.0552239  0.06168254 0.04881309
 0.06343985 0.05892529 0.05718879 0.0705634  0.06453665 0.07332785
 0.08012762 0.0831035  0.07421374 0.08932799 0.07894738 0.08370535
 0.09563799 0.09929165 0.09498674 0.09457237 0.09684056 0.10674176
 0.10075013 0.10755228 0.11208579 0.1097931  0.1051394  0.12126955
 0.13322477 0.13510339 0.13978319 0.14709972 0.13851279 0.16218936
 0.13838479 0.15461658 0.15720104 0.17503107 0.2814818 ]",losses,17.379723340272903
"[0.25222984 0.16447367 0.1292293  0.12560834 0.1400862  0.16161825
 0.15740834 0.13971579 0.13064575 0.12570487 0.12870684 0.1415308
 0.12046934 0.10754713 0.10903997 0.11246195 0.10518749 0.09448928
 0.09508944 0.09488866 0.0839672  0.07791474 0.07874578 0.07048872
 0.06907895 0.07351322 0.06299625 0.06119615 0.06698003 0.05413925
 0.05541902 0.05557957 0.05993641 0.05504697 0.06721967 0.05518525
 0.05405091 0.05928163 0.05510951 0.05681818 0.05605134 0.05700014
 0.06600753 0.06150131 0.0587406  0.06532191 0.05886195 0.05744486
 0.05744449 0.05756579 0.05443367 0.05451257 0.05635487 0.05244502
 0.05091602 0.05142927 0.04956549 0.04993391 0.04876924 0.0557383
 0.05306238 0.05923585 0.06382695 0.05889855 0.06631043 0.07066672
 0.06432841 0.06899282 0.06687537 0.06813911 0.06562527 0.07362657
 0.06803083 0.05927953 0.06907894 0.06796529 0.06453419 0.07125437
 0.07489138 0.06990132 0.07420297 0.08465558 0.07910176 0.09398497
 0.08387414 0.09580353 0.08637793 0.08094059 0.0887352  0.08589182
 0.09597617 0.09317917 0.10024795 0.08798592 0.08648641 0.08423565
 0.08324461 0.07807336 0.06796879 0.07236842 0.06591909 0.0618792
 0.06321076 0.05751766 0.05900167 0.05568266 0.0532636  0.06243908
 0.05722904 0.06167764 0.05733214 0.05375538 0.06022703 0.0504963
 0.05914923 0.05538059 0.05865844 0.0731333  0.06984225 0.07264254
 0.07944798 0.08175536 0.07354516 0.08917493 0.08157896 0.08174733
 0.09499045 0.10045979 0.09307426 0.09140942 0.09495728 0.1057034
 0.10373266 0.10448374 0.10903998 0.1091884  0.10966449 0.11560833
 0.1359678  0.13157895 0.13511725 0.14188753 0.13218687 0.14848325
 0.14575773 0.16165742 0.13314538 0.14224748 0.1959334 ]",average_loss,16.565273106098175
"[0.19317381 0.19281201 0.11971895 0.11096343 0.14745916 0.16847129
 0.1745787  0.1333453  0.1310346  0.1380404  0.12456542 0.1355716
 0.12079257 0.12093651 0.11391325 0.10755228 0.10744256 0.0998887
 0.09746832 0.08919534 0.08342075 0.07277494 0.0784361  0.07538377
 0.07171052 0.0668812  0.0583161  0.05782578 0.0614257  0.05276864
 0.04977903 0.05396794 0.06102268 0.05392101 0.06006864 0.05266043
 0.0475404  0.0541032  0.04770078 0.05195873 0.05402716 0.05710892
 0.06441678 0.05437788 0.06239558 0.06456555 0.0594735  0.06117374
 0.06013642 0.05427632 0.05267459 0.0552549  0.05126806 0.04987512
 0.04745341 0.04996075 0.05012399 0.05381766 0.05016309 0.0543677
 0.05475892 0.0585425  0.06135128 0.06116963 0.06564063 0.07102273
 0.06452065 0.06964174 0.0625053  0.07283835 0.06737    0.06976075
 0.06185685 0.06267195 0.06907894 0.0710945  0.07284419 0.07494447
 0.0685136  0.06755169 0.06837621 0.0826203  0.07819968 0.08864491
 0.08335318 0.09508635 0.08372223 0.08241773 0.08384249 0.08497807
 0.0949193  0.0877234  0.09601279 0.0853301  0.07688555 0.08480673
 0.07746997 0.08068765 0.0672847  0.07236842 0.06424079 0.05663861
 0.06385628 0.05968359 0.05560776 0.05363731 0.04715081 0.05852305
 0.05949244 0.06335977 0.05670523 0.05669241 0.05873216 0.04893332
 0.05894492 0.05750741 0.05508015 0.06215677 0.06119278 0.07127193
 0.07740904 0.08401832 0.07792815 0.09417446 0.08092105 0.08109466
 0.09076741 0.0946775  0.08988678 0.09014423 0.09495728 0.10051169
 0.10496929 0.10387005 0.10964913 0.10858373 0.11599042 0.11948182
 0.12849171 0.13157895 0.13745023 0.13566189 0.13563737 0.15933391
 0.15029496 0.14842063 0.13818027 0.14724839 0.18379107]",losses,15.843074053525925
"[0.2533337  0.26615843 0.10405479 0.12082057 0.16390651 0.1747533
 0.17885074 0.13551706 0.13842228 0.14039001 0.13360125 0.13080424
 0.13436788 0.1225778  0.1145224  0.12381555 0.10918842 0.10466507
 0.09370176 0.0923583  0.08223683 0.07820677 0.07747887 0.07277307
 0.07368422 0.06290201 0.06544776 0.06191837 0.06857367 0.05276864
 0.04770584 0.04678092 0.05539965 0.05066824 0.05853628 0.0574696
 0.0542476  0.05333029 0.04610507 0.05102422 0.05627216 0.06113373
 0.06593604 0.05004035 0.06187343 0.06160887 0.05848821 0.05986359
 0.05621485 0.05756579 0.05394503 0.05225332 0.05801848 0.05653783
 0.04564342 0.05236662 0.04705232 0.05129014 0.0499027  0.04888523
 0.05048727 0.05465373 0.05428441 0.05961574 0.06891523 0.07120073
 0.07453223 0.07630798 0.06391784 0.07606909 0.06819104 0.07230867
 0.06991813 0.06720492 0.06907894 0.06986621 0.07587267 0.07459304
 0.07209102 0.07107612 0.07040675 0.08539298 0.08145307 0.08900092
 0.0887116  0.09117173 0.09042902 0.07825764 0.08160064 0.08177998
 0.09001786 0.08001756 0.09121914 0.08351788 0.07546903 0.07624041
 0.0794535  0.08097813 0.07065627 0.06907894 0.06322715 0.06127451
 0.06149502 0.063431   0.05038639 0.0495819  0.04908115 0.05330165
 0.05172696 0.06223835 0.0569332  0.05383267 0.06083677 0.05013562
 0.05547156 0.05834145 0.06281182 0.06703523 0.06683277 0.07401316
 0.0770575  0.08011832 0.07815102 0.08580792 0.08750001 0.08337901
 0.0969049  0.0981235  0.1000867  0.09362348 0.08699462 0.10321139
 0.09973172 0.10939342 0.10173003 0.1040918  0.10934129 0.110543
 0.12811522 0.12335526 0.14503235 0.13580665 0.13079023 0.14734103
 0.11853448 0.1472941  0.13426423 0.14224748 0.1716487 ]",average_loss,15.414066731929779
